Round,Loss
0,17.426101205236623
1,13.741574776734357
2,12.609224933604295
3,11.619433971599758
4,11.24071996124627
5,10.980628252029419
6,10.46864750185562
7,10.685173656927978
8,10.516204391630533
9,9.576052997748889
10,9.873607563098687
